#name,vmic,vmic err,vsini,vsini err,MgFe,e_MgFe,TiFe,e_TiFe,MnFe,e_MnFe
18sco,1.07,0.2,2.2,1,0.008,0.05660388679,0.016,0.07984985911,0.01,0.09581753493
alfcenA,1.2,0.07,1.9,1,-0.019,0.1012126474,-0.054,0.09329523032,-0.015,0.09329523032
alfcenB,0.99,0.31,1,1,0.076,0.1393161871,0.073,0.145,0.012,0.1577466323
bethyi,1.26,0.05,3.3,1,0.002,0.07810249676,-0.034,0.08139410298,-0.081,0.08627861844
betvir,1.33,0.09,2,1,-0.147,0.0982903861,-0.172,0.0982903861,-0.144,0.1070560601
deleri,1.1,0.22,0.7,1,0.119,0.1496028075,-0.022,0.1055888252,-0.092,0.125399362
etaboo,1.52,0.19,12.7,1,0.047,0.1272831489,-0.108,0.1425622671,-0.049,0.1226743657
HD49933,1.46,0.35,10,1,0.046,0.1006031809,0.016,0.1181905242,-0.197,0.1417356695
Procyon,1.66,0.11,2.8,1,-0.047,0.109658561,-0.079,0.1265069168,-0.135,0.1226743657
sun,1.06,0.18,1.6,1,0,0.084,0,0.076,0,0.101
KIC10162436,1.57,0.09,6.5,1,-0.038,0.016,0.017,0.016,0,0.05
KIC10644253,1.17,0.06,3.8,1,-0.035,0.016,-0.0,0.014,0,0.05
KIC12069424,1.13,0.02,2.2,1,0.033,0.012,0.031,0.007,0,0.05
KIC12069449,1.06,0.02,1.4,1,0.033,0.012,0.035,0.007,0,0.05
KIC12258514,1.37,0.06,3.5,1,0.004,0.015,-0.009,0.013,0,0.05
KIC3427720,1.28,0.06,4,1,-0.011,0.014,0.003,0.013,0,0.05
KIC6106415,1.29,0.04,4,1,-0.001,0.01,0.001,0.009,0,0.05
KIC6225718,1.49,0.06,5,1,-0.019,0.011,0.018,0.011,0,0.05
KIC7940546,1.71,0.05,9.7,1,-0.036,0.01,0.02,0.009,0,0.05
KIC9139151,1.28,0.06,6,1,-0.065,0.016,-0.005,0.014,0,0.05
nu ind, 1.35,0.07,1.1,0.6,0.32,0.08,0.27,0.07,-0.23,0.07
k2-138,0.9,0.1,2.5,1,0,0.05,0.15,0.1,0,0.05
