#names,Mass,M_err_up,M_err_low,Radius,R_err_up,R_err_low,Age,Age_err_up,Age_err_low,Lumin,Lumin_err_up,Lumin_err_low
18sco,1.02,0.06,0.06,1.01,0.009,0.009,2.9,0.5,0.5,1.047128548,0.05545535946,0.05545535946
alfcenA,1.1055,0.004,0.004,1.2234,0.0053,0.0053,5.26,0.95,0.95,1.52054753,0.0140047603,0.0140047603
alfcenB,0.9373,0.003,0.003,0.8632,0.004,0.004,5.26,0.95,0.95,0.5035006088,0.006956117977,0.006956117977
bethyi,1.15,0.04,0.04,1.89,0.03,0.03,6.4,1.4,1.4,3.515604405,0.08904476126,0.08904476126
betvir,1.34,0.04,0.04,1.681,0.008,0.008,4.01,0.3,0.3,3.580964371,0.0412273759,0.0412273759
deleri,1.33,0.07,0.07,2.350,0.010,0.029,6.194,NaN,NaN,2.937649652,0.0006087769467,0.0006087769467
etaboo,1.64,0.07,0.07,2.672,0.024,0.024,2.67,0.1,0.1,8.974287945,0.1239843699,0.1239843699
HD49933,1.28,0.01,0.01,1.458,0.005,0.005,1.83,0.1,0.1,3.52370871,0.04056819574,0.04056819574
Procyon,1.5,0.07,0.07,2.048,0.025,0.025,1.87,0.13,0.13,6.902398038,0.3496538942,0.3496538942
sun,1,0.0001,0.0001,1,0.0001,0.0001,4.56,0.001,0.001,1,0.0002072326584,0.0002072326584
KIC10162436,1.413,0.053,0.053,2.011,0.027,0.027,2.571,0.427,0.427,NaN,NaN,NaN (S)
KIC10644253,1.159,0.018,0.018,1.118,0.004,0.004,1.374,0.723,0.723,1.45,0.09,0.09 (S)
KIC12069424,1.072,0.013,0.013,1.223,0.005,0.005,7.36,0.31,0.31,1.52,0.05,0.05 (C)
KIC12069449,1.038,0.047,0.047,1.113,0.016,0.016,7.05,0.63,0.63,1.21,0.11,0.11 (C)
KIC12258514,1.251,0.016,0.016,1.593,0.016,0.016,5.5,0.4,0.4,2.63,0.12,0.12 (C)
KIC3427720,1.1,0.024,0.024,1.117,0.008,0.008,2.972,0.778,0.778,1.37,0.08,0.08 (S)
KIC6106415,1.039,0.021,0.021,1.205,0.009,0.009,4.55,0.28,0.28,1.61,0.09,0.09 (C)
KIC6225718,1.169,0.039,0.039,1.234,0.018,0.018,2.23,0.2,0.2,2.08,0.11,0.11 (C)
KIC7940546,1.511,0.087,0.087,1.974,0.045,0.045,2.42,0.17,0.17,5.69,0.35,0.35 (C)
KIC9139151,1.184,0.027,0.027,1.161,0.007,0.007,1.494,0.679,0.679,1.81,0.11,0.11 (S)
nu ind,0.85,0.05,0.05,NaN,NaN,NaN,11,1.06,1.06,NaN,NaN,NaN
K2-138,0.93,0.06,0.06,0.86,0.08,0.08,2.3,0.44,-0.36,0.517,0.07,0.07
