#Targeridentifier,Teff(K),Teff error,logg([cm/s2]),logg error,[Fe/H] ([Sun]),[Fe/H] error,
18sco,5810,80,4.44,0.03,0.03,0.03
alfcenA,5792,16,4.31,0.01,0.26,0.08
alfcenB,5231,20,4.53,0.03,0.22,0.1
bethyi,5873,45,3.98,0.02,-0.04,0.06
betvir,6083,41,4.1,0.02,0.24,0.07
deleri,5022,34,3.76,0.02,0.06,0.05
etaboo,6099,28,3.79,0.02,0.32,0.08
HD49933,6635,91,4.2,0.03,-0.41,0.08
Procyon,6554,84,4,0.02,0.01,0.08
sun,5777,0,4.44,0,0,0
KIC10162436,6259,49,3.977,0.02,-0.073,0.021
KIC10644253,6126,27,4.403,0.02,0.13,0.019
KIC12069424,5839,42,4.291,0.02,0.093,0.007
KIC12069449,5809,39,4.356,0.02,0.062,0.007
KIC12258514,6045.5,24,4.124,0.02,0.027,0.017
KIC3427720,6091.5,24,4.386,0.02,-0.024,0.017
KIC6106415,5908.5,72,4.299,0.02,-0.037,0.012
KIC6225718,6153,89,4.319,0.02,-0.11,0.014
KIC7940546,6319,28,4.005,0.02,-0.126,0.012
KIC9139151,6136.5,27,4.379,0.02,0.096,0.019
nu ind,5320,24,3.46,0.02,-1.43,0.06
K2-138,5378,60,4.59,0.07,0.16,0.04 
