# Wavelength/AA, Flux/AA
5.331000174231205165e+03,9.906216979589956839e-01
5.331050178586984657e+03,9.932830717032909984e-01
5.331100182942765059e+03,9.945981830882661967e-01
5.331150187298545461e+03,9.938186704829812257e-01
5.331800243923687049e+03,9.925795014192789756e-01
5.331850248279466541e+03,9.939972184648935283e-01
5.331900252635246943e+03,9.949281106547981368e-01
5.331950256991027345e+03,9.961504762418702530e-01
5.332000261346806838e+03,9.965592662317768191e-01
5.332050265702587240e+03,9.960151905235421488e-01
5.332100270058367641e+03,9.946781064043005438e-01
5.332150274414147134e+03,9.931914842872174853e-01
5.332200278769927536e+03,9.923470768485758153e-01
5.332250283125707938e+03,9.919372174815319632e-01
5.332300287481488340e+03,9.920133354894926647e-01
5.332350291837267832e+03,9.911086305797869311e-01
5.333400383308650817e+03,9.934396440511608084e-01
5.333450387664430309e+03,9.943200318558904627e-01
5.334550483491593695e+03,9.931952841333078208e-01
5.334600487847373188e+03,9.920714621042878711e-01
5.335150535760954881e+03,9.958735881536652235e-01
5.335200540116735283e+03,9.971730950917243597e-01
5.335250544472514775e+03,9.969119503509447089e-01
5.335300548828295177e+03,9.965752632669423461e-01
5.335350553184075579e+03,9.965426480010093346e-01
5.335400557539855072e+03,9.967463421188639261e-01
5.335450561895635474e+03,9.974337795303691578e-01
5.335500566251415876e+03,9.981365162106695665e-01
5.335550570607195368e+03,9.987211950873789990e-01
5.335600574962975770e+03,9.989583484169463068e-01
5.335650579318756172e+03,9.990698408135259001e-01
5.335700583674535665e+03,9.990528348552213389e-01
5.335750588030316067e+03,9.989638910434172070e-01
5.335800592386096469e+03,9.990414409142941432e-01
5.335850596741876871e+03,9.990131336294195696e-01
5.335900601097656363e+03,9.982319373370839299e-01
5.335950605453436765e+03,9.949992658973556559e-01
5.336450649011238056e+03,9.909578065205174591e-01
5.337100705636379644e+03,9.947706103722295801e-01
5.337150709992160046e+03,9.936368172818974553e-01
5.337200714347939538e+03,9.915149280162398604e-01
5.337250718703719940e+03,9.901049381801581006e-01
5.337350727415279835e+03,9.901795135802817782e-01
5.337400731771060236e+03,9.918440185365429151e-01
5.337450736126840638e+03,9.932201890067458017e-01
5.338000784040421422e+03,9.919214318977083167e-01
5.338050788396201824e+03,9.946548164506227030e-01
5.338650840665563010e+03,9.910853526566616445e-01
5.338700845021343412e+03,9.919190365219410221e-01
5.338750849377123814e+03,9.935509053446384131e-01
5.338800853732903306e+03,9.954124160172583835e-01
5.338850858088683708e+03,9.965988261057187048e-01
5.338900862444464110e+03,9.972045521649084421e-01
5.338950866800243602e+03,9.973464842723929191e-01
5.339000871156024004e+03,9.971479849695707998e-01
5.339050875511804406e+03,9.966286160786637094e-01
5.339100879867583899e+03,9.957629139438318733e-01
5.339150884223364301e+03,9.934033610345439635e-01
5.341601097656590355e+03,9.932602569343069732e-01
5.341651102012370757e+03,9.952270197311676725e-01
5.341701106368150249e+03,9.961867474134994405e-01
5.341751110723930651e+03,9.966557486988973924e-01
5.341801115079711053e+03,9.966345723920622124e-01
5.341851119435490546e+03,9.953949115413877058e-01
5.341901123791270948e+03,9.934191783728938407e-01
5.341951128147051350e+03,9.912976443679710759e-01
5.342101141214391646e+03,9.900447548033610712e-01
5.342151145570172048e+03,9.919570617266659784e-01
5.342201149925951540e+03,9.942874885096431026e-01
5.342251154281731942e+03,9.961467292219134961e-01
5.342301158637512344e+03,9.970799930602077810e-01
5.342351162993291837e+03,9.974283039673925710e-01
5.342401167349072239e+03,9.967662225012698940e-01
5.342451171704852641e+03,9.913091393872519586e-01
5.343851293666695710e+03,9.913353706669862930e-01
5.343901298022476112e+03,9.955417877443781816e-01
5.343951302378255605e+03,9.980165866257637575e-01
5.344001306734036007e+03,9.990928996683834384e-01
5.344051311089816409e+03,9.994933516913986349e-01
5.344101315445595901e+03,9.991579709612635751e-01
5.344151319801376303e+03,9.984394667364209219e-01
5.344201324157156705e+03,9.949762734771863126e-01
5.344951389493858187e+03,9.916579016479637465e-01
5.345001393849638589e+03,9.962126425163468912e-01
5.345051398205418991e+03,9.979569110813573118e-01
5.345101402561198483e+03,9.980594123883188562e-01
5.345151406916978885e+03,9.977435005526018585e-01
5.345201411272759287e+03,9.971494861858545278e-01
5.345251415628538780e+03,9.963552187176822894e-01
5.345301419984319182e+03,9.948931551422854902e-01
5.345351424340099584e+03,9.929627833888209354e-01
5.346751546301942653e+03,9.940871438893437162e-01
5.346801550657723055e+03,9.961737414091789145e-01
5.346851555013502548e+03,9.926962168807322850e-01
5.347701629061764834e+03,9.905596561819473012e-01
5.347751633417545236e+03,9.944429335321205432e-01
5.347801637773325638e+03,9.953698951193324929e-01
5.347851642129105130e+03,9.952308337147515171e-01
5.347901646484885532e+03,9.945899595971829932e-01
5.347951650840665934e+03,9.937359348303114182e-01
