source_id,l,b,distance,distance[pc][stilism],reddening[mag][stilism],distance_uncertainty[pc][stilism],reddening_uncertainty_min[mag][stilism],reddening_uncertainty_max[mag][stilism]
alf cen A min,315.7341651,-0.67965348,1.34354427,1.344,0.0,13.0,0.013999999999999999,0.013999999999999999
alf cen A cen,315.7341651,-0.67965348,1.34589502,1.3459999999999999,0.0,13.0,0.013999999999999999,0.013999999999999999
alf cen A max,315.7341651,-0.67965348,1.3482540109999999,1.348,0.0,13.0,0.013999999999999999,0.013999999999999999
alf cen B min,315.7300776,-0.68171048,1.34354427,1.344,0.0,13.0,0.013999999999999999,0.013999999999999999
alf cen B cen,315.7300776,-0.68171048,1.34589502,1.3459999999999999,0.0,13.0,0.013999999999999999,0.013999999999999999
alf cen B max,315.7300776,-0.68171048,1.3482540109999999,1.348,0.0,13.0,0.013999999999999999,0.013999999999999999
Procyon min,213.7022346,13.01939498,3.498705479,3.4989999999999997,0.0,13.0,0.013999999999999999,0.013999999999999999
Procyon cen,213.7022346,13.01939498,3.514197357,3.514,0.0,13.0,0.013999999999999999,0.013999999999999999
Procyon max,213.7022346,13.01939498,3.529827038,3.53,0.0,13.0,0.013999999999999999,0.013999999999999999
KIC10162436 min,81.34519921,9.717065783842699,137.4381528,137.438,0.013000000000000001,17.0,0.016,0.016
KIC10162436 cen,81.34519921,9.717065783842699,137.9500621,137.95,0.013999999999999999,17.0,0.016,0.016
KIC10162436 max,81.34519921,9.717065783842699,138.4657989,138.466,0.013999999999999999,17.0,0.016,0.016
KIC10644253 min,77.10223892,21.0166383507533,96.89828587,96.898,0.015,14.0,0.016,0.016
KIC10644253 cen,77.10223892,21.0166383507533,97.12415381,97.124,0.015,14.0,0.016,0.016
KIC10644253 max,77.10223892,21.0166383507533,97.35107719,97.351,0.015,14.0,0.016,0.016
KIC12069424 min,83.33968309999999,13.2148019145276,21.13726966,21.136999999999997,0.001,13.0,0.015,0.015
KIC12069424 cen,83.33968309999999,13.2148019145276,21.1518896,21.151999999999997,0.001,13.0,0.015,0.015
KIC12069424 max,83.33968309999999,13.2148019145276,21.16652979,21.166999999999998,0.001,13.0,0.015,0.015
KIC12069449 min,83.33648757,13.204261508570198,21.14169375,21.142,0.001,13.0,0.015,0.015
KIC12069449 cen,83.33648757,13.204261508570198,21.15265022,21.153000000000002,0.001,13.0,0.015,0.015
KIC12069449 max,83.33648757,13.204261508570198,21.16361805,21.164,0.001,13.0,0.015,0.015
KIC12258514 min,82.68725867,15.6193557889505,81.82100836,81.821,0.008,14.0,0.015,0.015
KIC12258514 cen,82.68725867,15.6193557889505,82.00821722,82.008,0.008,14.0,0.015,0.015
KIC12258514 max,82.68725867,15.6193557889505,82.19628473,82.196,0.008,14.0,0.015,0.015
KIC3427720 min,69.37467598,13.917961305961402,93.59615133,93.596,0.016,14.0,0.016,0.016
KIC3427720 cen,69.37467598,13.917961305961402,93.82711416,93.82700000000001,0.016,14.0,0.016,0.016
KIC3427720 max,69.37467598,13.917961305961402,94.05921968,94.059,0.016,14.0,0.016,0.016
KIC6106415 min,71.87908567,15.804528738296002,41.42381952,41.424,0.004,12.0,0.015,0.015
KIC6106415 cen,71.87908567,15.804528738296002,41.47037357,41.47,0.004,12.0,0.015,0.015
KIC6106415 max,71.87908567,15.804528738296002,41.51703236,41.516999999999996,0.004,12.0,0.015,0.015
KIC6225718 min,75.95213896,7.8358541809037,52.51631945,52.516000000000005,0.005,13.0,0.015,0.015
KIC6225718 cen,75.95213896,7.8358541809037,52.60638326,52.606,0.005,13.0,0.015,0.015
KIC6225718 max,75.95213896,7.8358541809037,52.69675651,52.696999999999996,0.005,13.0,0.015,0.015
KIC7940546 min,73.37810946,18.2243566680773,77.29946586,77.29899999999999,0.011000000000000001,13.0,0.016,0.016
KIC7940546 cen,73.37810946,18.2243566680773,77.49474973,77.495,0.011000000000000001,13.0,0.016,0.016
KIC7940546 max,73.37810946,18.2243566680773,77.6910228,77.691,0.012,13.0,0.016,0.016
KIC9139151 min,75.42528082,18.1759252607693,102.75908129999999,102.759,0.013999999999999999,14.0,0.016,0.016
KIC9139151 cen,75.42528082,18.1759252607693,103.02268559999999,103.023,0.013999999999999999,14.0,0.016,0.016
KIC9139151 max,75.42528082,18.1759252607693,103.28764579999999,103.288,0.013999999999999999,14.0,0.016,0.016
nu ind min,316.8294887,-40.67381132,28.37829401,28.378,0.002,12.0,0.015,0.015
nu ind cen,316.8294887,-40.67381132,28.45711229,28.456999999999997,0.002,12.0,0.015,0.015
nu ind max,316.8294887,-40.67381132,28.5363696,28.535999999999998,0.002,12.0,0.015,0.015
k2-138 min,64.21597988,-62.23883474,201.7552709,201.755,0.018000000000000002,25.0,0.015,0.015
k2-138 cen,64.21597988,-62.23883474,203.75313269999998,203.753,0.018000000000000002,26.0,0.016,0.016
k2-138 max,64.21597988,-62.23883474,205.7909575,205.791,0.018000000000000002,26.0,0.016,0.016
